loan_id,user_id,loan_amount,disbursement_date,due_date,status
101,1,2500.00,2026-01-10 09:00:00,2026-01-24 09:00:00,repaid
102,2,10000.00,2026-02-01 11:20:00,2026-02-15 11:20:00,active
103,3,1000.00,2025-11-05 16:45:00,2025-11-19 16:45:00,defaulted
104,4,35000.00,2026-02-20 14:10:00,2026-03-06 14:10:00,active
105,5,5000.00,2026-01-15 10:00:00,2026-01-29 10:00:00,repaid
106,6,500.00,2025-12-01 08:15:00,2025-12-15 08:15:00,defaulted
107,7,15000.00,2026-02-10 13:30:00,2026-02-24 13:30:00,repaid
108,8,2500.00,2026-03-01 09:45:00,2026-03-15 09:45:00,active
109,9,50000.00,2026-01-05 12:00:00,2026-02-04 12:00:00,repaid
110,10,1000.00,2026-02-25 17:00:00,2026-03-11 17:00:00,active
